cluster,subtype,rank_in_class,gene,gene_id,gene_type,combined_score,identity_score,survival_score,mean_z_in_class,best_other_class_mean_z,specificity_margin,cohens_d,p_value,fdr,dep_mean_GBM,dep_mean_nonCNS,therapeutic_window,frac_GBM_lines_dependent,frac_all_lines_dependent,gbm_line_sd,dependency_tier,pan_essential
0,MTC,1,RPP25L,ENSG00000164967.10,protein_coding,0.6895956346977101,0.47554213939413764,1.0,1.0327232167949585,0.3194100077037519,0.7133132090912064,1.1002443380941571,1.92709202787084e-05,6.83847988602505e-05,0.8013381,0.36726177,0.43407633,0.8113207547169812,0.3294701986754967,0.27223882,A · selective + heterogeneous,False
0,MTC,2,BNIP1,ENSG00000113734.18,protein_coding,0.3469956565677843,0.8475544392597795,0.1420628340783225,1.378298007535997,0.1069663486463278,1.2713316588896693,1.7983919915073543,1.5022560618147822e-10,3.7106589749509475e-09,0.62431926,0.5451684,0.07915086,0.6415094339622641,0.5629139072847682,0.28449735,A · selective + heterogeneous,False
0,MTC,3,C19orf25,ENSG00000119559.17,protein_coding,0.3442653467614469,0.39267398321308605,0.3018245008518038,0.9077522953747365,0.3187413205551074,0.589010974819629,1.1790474295335451,7.499023083081777e-07,4.226184718904287e-06,0.50518906,0.2973714,0.2078176599999999,0.5283018867924528,0.2524834437086092,0.33878407,A · selective + heterogeneous,False
0,MTC,4,RPL41,ENSG00000229117.9,protein_coding,0.323177828742458,0.6782045142565933,0.15400061013332325,1.3611499034277916,0.3438431320429017,1.01730677138489,1.732056444531956,3.358714314577797e-11,1.1183258606546355e-09,0.3954746,0.2600225,0.1354521,0.3260869565217391,0.1779816513761468,0.27887592,A · selective + heterogeneous,False
0,MTC,5,SCNM1,ENSG00000163156.12,protein_coding,0.28909313538794523,0.6023281266233076,0.1387530105840467,1.1329538261353824,0.229461636200421,0.9034921899349614,1.4359010495836713,5.715457658204156e-10,1.0652023838295337e-08,0.48732287,0.38828358,0.09903929,0.490566037735849,0.3220198675496689,0.2323551,A · selective + heterogeneous,False
0,MTC,6,NUDT16L1,ENSG00000168101.14,protein_coding,0.2678784297746849,0.7116830830940923,0.1008297862393667,1.3581098318441494,0.2905852072030108,1.0675246246411385,1.8009786844895583,4.1726725389745626e-10,8.286747361738217e-09,0.37508154,0.28157434,0.0935072,0.320754716981132,0.1771523178807947,0.23419687,A · selective + heterogeneous,False
0,MTC,7,NR2C2AP,ENSG00000184162.15,protein_coding,0.23841534994279906,0.35883891011393515,0.15840500426862694,0.9990007401027714,0.4607423749318686,0.5382583651709028,1.2570870265491023,2.212262756522097e-07,1.4976122784683253e-06,0.57485896,0.47900954,0.09584942,0.5471698113207547,0.4685430463576159,0.30993122,A · selective + heterogeneous,False
0,MTC,8,TRAPPC2L,ENSG00000167515.10,protein_coding,0.23442964226460725,0.46121693539805797,0.11915706678220804,1.1616467628228564,0.4698213597257694,0.691825403097087,1.411565917321188,7.762017969075393e-08,6.19469204614147e-07,0.36027664,0.24523221,0.1150444299999999,0.3584905660377358,0.1746688741721854,0.3099927,A · selective + heterogeneous,False
0,MTC,9,ATP5MC1,ENSG00000159199.14,protein_coding,0.220318279725738,0.531468323667356,0.09133214948044512,1.1777439335508206,0.3805414480497865,0.797202485501034,1.322415360618397,7.877824247397025e-07,4.396345196866969e-06,0.41861886,0.34272847,0.0758903899999999,0.3962264150943396,0.2259933774834437,0.21603942,A · selective + heterogeneous,False
0,MTC,10,UNC50,ENSG00000115446.12,protein_coding,0.21218456702246202,0.15799457768940847,0.2849609849966886,0.706533329617189,0.4695414630830762,0.2369918665341127,0.8153539380888275,0.0005448062568224,0.0012200664263549,0.6505223,0.49815032,0.15237198,0.6415094339622641,0.4842715231788079,0.3237313,A · selective + heterogeneous,False
0,MTC,11,MZT2A,ENSG00000173272.16,protein_coding,0.20923174215179938,0.26624173172772847,0.16442922617648256,0.5884084314897108,0.189045833898118,0.3993625975915927,0.6031441234946991,0.0105567917443548,0.0168701543472125,0.49594966,0.3806247,0.11532496,0.5,0.3161413562559694,0.2227534,A · selective + heterogeneous,False
0,MTC,12,UFC1,ENSG00000143222.12,protein_coding,0.20573027880738923,0.5509492529652168,0.07682186225023926,1.023971297716462,0.1975474182686368,0.8264238794478252,1.5049474534745646,2.695957383147297e-09,3.7225617557642254e-08,0.37069935,0.29861435,0.072085,0.320754716981132,0.2069536423841059,0.28110057,A · selective + heterogeneous,False
0,MTC,13,USE1,ENSG00000053501.13,protein_coding,0.18748893302994202,0.41698604879499307,0.0843004223049876,1.0472039697261102,0.4217248965336205,0.6254790731924896,1.2203966310293617,2.0630128364747666e-06,9.995825373717537e-06,0.54555476,0.4918054,0.05374936,0.5849056603773585,0.4817880794701987,0.31265795,A · selective + heterogeneous,False
0,MTC,14,TMEM183A,ENSG00000163444.12,protein_coding,0.17502531698932247,0.22743210664336366,0.1346945338515893,0.822543767373336,0.4813956074082904,0.3411481599650455,1.0334533576785738,1.128432066539079e-05,4.3238922924792046e-05,0.5417966,0.4553206,0.0864759999999999,0.5660377358490566,0.4420529801324503,0.2278601,A · selective + heterogeneous,False
