gene_name,gene_type
RHBDD2,protein_coding
SOX8,protein_coding
IBTK,protein_coding
ZNF195,protein_coding
MYCBP2,protein_coding
FBXL3,protein_coding
ITGAL,protein_coding
PDK2,protein_coding
ITGA3,protein_coding
ZFX,protein_coding
LAMP2,protein_coding
ITGA2B,protein_coding
GDE1,protein_coding
REX1BD,protein_coding
CRLF1,protein_coding
OSBPL7,protein_coding
TMEM98,protein_coding
MAP3K14,protein_coding
ABCC8,protein_coding
CACNG3,protein_coding
TMEM132A,protein_coding
AP2B1,protein_coding
TAC1,protein_coding
ZNF263,protein_coding
CX3CL1,protein_coding
SPATA20,protein_coding
CACNA1G,protein_coding
TNFRSF12A,protein_coding
DLX6,protein_coding
MAP3K9,protein_coding
RALA,protein_coding
BAIAP2L1,protein_coding
KDM7A,protein_coding
ETV1,protein_coding
AGK,protein_coding
ALDH3B1,protein_coding
PHTF2,protein_coding
CCL26,protein_coding
FARP2,protein_coding
USH1C,protein_coding
GGCT,protein_coding
DBF4,protein_coding
TBXA2R,protein_coding
IFRD1,protein_coding
COX10,protein_coding
GTF2IRD1,protein_coding
PAF1,protein_coding
VPS41,protein_coding
ARHGAP44,protein_coding
ELAC2,protein_coding
SCIN,protein_coding
ARSD,protein_coding
PNPLA4,protein_coding
ADIPOR2,protein_coding
CDKL3,protein_coding
UPP2,protein_coding
MARK4,protein_coding
PROM1,protein_coding
CCDC124,protein_coding
CEACAM21,protein_coding
PAFAH1B1,protein_coding
NOS2,protein_coding
DNAH9,protein_coding
KIAA0100,protein_coding
GAS7,protein_coding
TRAPPC6A,protein_coding
MATK,protein_coding
ST7L,protein_coding
TKTL1,protein_coding
PAX6,protein_coding
RPUSD1,protein_coding
RHBDF1,protein_coding
LUC7L,protein_coding
CACNA2D2,protein_coding
BAIAP3,protein_coding
TSR3,protein_coding
PIGQ,protein_coding
CRAMP1,protein_coding
TEAD3,protein_coding
DNAJC11,protein_coding
FMO3,protein_coding
MYLIP,protein_coding
NOX1,protein_coding
E2F2,protein_coding
PSMB1,protein_coding
SYN1,protein_coding
JARID2,protein_coding
CDKL5,protein_coding
CAMK1G,protein_coding
CDK11A,protein_coding
NADK,protein_coding
DLEC1,protein_coding
CYTH3,protein_coding
ADAM22,protein_coding
SYPL1,protein_coding
CYB561,protein_coding
SPAG9,protein_coding
CELSR3,protein_coding
AASS,protein_coding
PLEKHG6,protein_coding
SS18L2,protein_coding
MPND,protein_coding
MGST1,protein_coding
CRY1,protein_coding
PGLYRP1,protein_coding
NFIX,protein_coding
ST3GAL1,protein_coding
MMP25,protein_coding
IL32,protein_coding
PKD1,protein_coding
MAPK8IP2,protein_coding
MED24,protein_coding
RHOBTB2,protein_coding
HEATR5B,protein_coding
SEC62,protein_coding
RPS20,protein_coding
CSDE1,protein_coding
UBE3C,protein_coding
REV3L,protein_coding
TENM1,protein_coding
MASP2,protein_coding
FAM76A,protein_coding
TRAF3IP3,protein_coding
POMT2,protein_coding
VTA1,protein_coding
MLXIPL,protein_coding
BAZ1B,protein_coding
RANBP9,protein_coding
ETV7,protein_coding
SPRTN,protein_coding
EEF1AKNMT,protein_coding
DYRK4,protein_coding
ZNF207,protein_coding
UQCRC1,protein_coding
STARD3NL,protein_coding
CD9,protein_coding
HHATL,protein_coding
NCAPD2,protein_coding
IFFO1,protein_coding
PHF7,protein_coding
SEMA3G,protein_coding
NISCH,protein_coding
STAB1,protein_coding
FUZ,protein_coding
SLC6A13,protein_coding
IDS,protein_coding
PRSS3,protein_coding
ZNF200,protein_coding
CD4,protein_coding
LRRC23,protein_coding
BTK,protein_coding
HFE,protein_coding
SCMH1,protein_coding
FYN,protein_coding
HIVEP2,protein_coding
ELOA,protein_coding
LYPLA2,protein_coding
CLCN6,protein_coding
MRC2,protein_coding
SLC6A7,protein_coding
TSPAN9,protein_coding
BTBD7,protein_coding
APBA3,protein_coding
MKS1,protein_coding
ABHD5,protein_coding
ANOS1,protein_coding
AKAP8L,protein_coding
MBTD1,protein_coding
UTP18,protein_coding
RNF216,protein_coding
TTC19,protein_coding
PTBP1,protein_coding
DPF1,protein_coding
SYT7,protein_coding
LARS2,protein_coding
PIK3C2A,protein_coding
PLAUR,protein_coding
ANLN,protein_coding
WIZ,protein_coding
RABGAP1,protein_coding
DCN,protein_coding
QPCTL,protein_coding
PPP5C,protein_coding
CEP68,protein_coding
MAP4K3,protein_coding
ZBTB32,protein_coding
TYROBP,protein_coding
TMEM159,protein_coding
GABRA3,protein_coding
BRCA1,protein_coding
ERCC1,protein_coding
CD22,protein_coding
SEMA3B,protein_coding
MBTPS2,protein_coding
PRICKLE3,protein_coding
LTF,protein_coding
EXTL3,protein_coding
ELOVL5,protein_coding
ALOX5,protein_coding
KDM5D,protein_coding
CALCOCO1,protein_coding
UBR7,protein_coding
MAP4K5,protein_coding
EHD3,protein_coding
PSMC4,protein_coding
MAN2B2,protein_coding
SLC7A14,protein_coding
CLDN11,protein_coding
SLC25A39,protein_coding
MVP,protein_coding
NUB1,protein_coding
PGM3,protein_coding
RWDD2A,protein_coding
CLK1,protein_coding
POLR3B,protein_coding
ANGEL1,protein_coding
RNF14,protein_coding
DNASE1L1,protein_coding
DDX11,protein_coding
HEBP1,protein_coding
GPRC5A,protein_coding
MAMLD1,protein_coding
CD6,protein_coding
TACC3,protein_coding
UFL1,protein_coding
POLA2,protein_coding
ZC3H3,protein_coding
CAPN1,protein_coding
ACP3,protein_coding
MDH1,protein_coding
SLC30A9,protein_coding
MTMR11,protein_coding
COX15,protein_coding
CCDC88C,protein_coding
YAF2,protein_coding
ZMYND11,protein_coding
WAS,protein_coding
DPEP1,protein_coding
BID,protein_coding
MATR3,protein_coding
XYLT2,protein_coding
STMN4,protein_coding
NUDCD3,protein_coding
CHDH,protein_coding
IL20RA,protein_coding
CLCA4,protein_coding
GLT8D1,protein_coding
ATP2C1,protein_coding
SLC38A5,protein_coding
RALBP1,protein_coding
RUFY3,protein_coding
CNTN1,protein_coding
SLC11A1,protein_coding
WWTR1,protein_coding
AGPS,protein_coding
CXorf56,protein_coding
ATP1A2,protein_coding
TTC27,protein_coding
ZNF582,protein_coding
VSIG2,protein_coding
PHLDB1,protein_coding
MARCO,protein_coding
PRDM11,protein_coding
SYT13,protein_coding
SNAI2,protein_coding
CD74,protein_coding
HGF,protein_coding
ZRANB1,protein_coding
NCDN,protein_coding
ADGRA2,protein_coding
ZFP64,protein_coding
MNAT1,protein_coding
SAMD4A,protein_coding
RUNX3,protein_coding
MRE11,protein_coding
PLEKHB1,protein_coding
SERPINB1,protein_coding
SLC7A9,protein_coding
SPAST,protein_coding
NRXN3,protein_coding
OSBPL5,protein_coding
AQR,protein_coding
CPS1,protein_coding
FHL1,protein_coding
RTF2,protein_coding
GABRA1,protein_coding
SLC45A4,protein_coding
RNF10,protein_coding
ZNF839,protein_coding
ZDHHC6,protein_coding
GRAMD1B,protein_coding
RNH1,protein_coding
NDUFS1,protein_coding
RB1CC1,protein_coding
ERP44,protein_coding
ALAS1,protein_coding
BIRC3,protein_coding
AKAP11,protein_coding
GLRX2,protein_coding
SNAPC1,protein_coding
DERA,protein_coding
STRAP,protein_coding
DEF6,protein_coding
PLEKHO1,protein_coding
GCLM,protein_coding
UBR2,protein_coding
EHD2,protein_coding
DEPDC1,protein_coding
CCDC28A,protein_coding
RRAGD,protein_coding
HSF2,protein_coding
PHF20,protein_coding
HSD17B6,protein_coding
NR1H3,protein_coding
TYMP,protein_coding
NCAPH2,protein_coding
TOMM34,protein_coding
SEC63,protein_coding
KPNA6,protein_coding
VIM,protein_coding
RTEL1-TNFRSF6B,protein_coding
FAS,protein_coding
RNASET2,protein_coding
CD44,protein_coding
KCNG1,protein_coding
AGPAT4,protein_coding
SLAMF7,protein_coding
BTN3A1,protein_coding
MIPEP,protein_coding
PRKCH,protein_coding
INSRR,protein_coding
IFNGR1,protein_coding
B4GALT7,protein_coding
SH2D2A,protein_coding
VRK2,protein_coding
TNFRSF1B,protein_coding
VEZT,protein_coding
POU2F2,protein_coding
BRD9,protein_coding
SNX1,protein_coding
TBPL1,protein_coding
ARNTL2,protein_coding
BCLAF1,protein_coding
SLC39A9,protein_coding
ANK1,protein_coding
IBSP,protein_coding
TFB1M,protein_coding
RABEP1,protein_coding
HMGB3,protein_coding
NUP160,protein_coding
BAK1,protein_coding
IKZF2,protein_coding
GRN,protein_coding
FAM13B,protein_coding
ARHGAP31,protein_coding
CENPQ,protein_coding
SARS1,protein_coding
RANBP3,protein_coding
ARID4A,protein_coding
EIPR1,protein_coding
PNPLA6,protein_coding
IFT88,protein_coding
ALG1,protein_coding
ZCCHC8,protein_coding
ABCF2,protein_coding
CHPF2,protein_coding
LRRC7,protein_coding
FUT8,protein_coding
UBA6,protein_coding
GAB2,protein_coding
ATP6V0A1,protein_coding
PIAS1,protein_coding
SLC4A7,protein_coding
APBA2,protein_coding
MAP2K3,protein_coding
TMSB10,protein_coding
ASTE1,protein_coding
RNF19A,protein_coding
PEX3,protein_coding
GABARAPL2,protein_coding
SH3YL1,protein_coding
FAM136A,protein_coding
VCL,protein_coding
DEPDC1B,protein_coding
DAPK2,protein_coding
NSMAF,protein_coding
ADSS2,protein_coding
TIMP2,protein_coding
RFC1,protein_coding
TBC1D23,protein_coding
CUL3,protein_coding
MYOM2,protein_coding
CYP46A1,protein_coding
ZZZ3,protein_coding
SLC18A1,protein_coding
USP2,protein_coding
TUBG2,protein_coding
RPL26L1,protein_coding
FLT4,protein_coding
NSUN2,protein_coding
FBXO42,protein_coding
MFAP3,protein_coding
MRI1,protein_coding
METTL1,protein_coding
HOXC8,protein_coding
AGA,protein_coding
PI4K2B,protein_coding
BOD1L1,protein_coding
MAT2B,protein_coding
EDC4,protein_coding
TRIO,protein_coding
VCAN,protein_coding
CLEC16A,protein_coding
MSR1,protein_coding
CDH1,protein_coding
MTREX,protein_coding
DNAH5,protein_coding
ZFYVE16,protein_coding
RIPOR1,protein_coding
RAI14,protein_coding
PNKP,protein_coding
PHLPP2,protein_coding
SPDL1,protein_coding
STAU2,protein_coding
SLC66A1,protein_coding
CTNS,protein_coding
RTN4R,protein_coding
PHF23,protein_coding
CDH10,protein_coding
INPP4A,protein_coding
RAB27B,protein_coding
PSMA4,protein_coding
MYO16,protein_coding
LSG1,protein_coding
PARP3,protein_coding
TNC,protein_coding
THAP3,protein_coding
RIPOR3,protein_coding
TDP1,protein_coding
AIFM2,protein_coding
SPATA7,protein_coding
MED17,protein_coding
RETSAT,protein_coding
CAPG,protein_coding
AP2S1,protein_coding
ADAM28,protein_coding
DCUN1D1,protein_coding
JADE2,protein_coding
ZIC2,protein_coding
LCP2,protein_coding
TRIT1,protein_coding
ADRB1,protein_coding
CUL7,protein_coding
CTNNA1,protein_coding
PHKA2,protein_coding
CNTLN,protein_coding
EPHA3,protein_coding
HSPA5,protein_coding
DSG2,protein_coding
GEMIN8,protein_coding
OFD1,protein_coding
GPM6B,protein_coding
PREX2,protein_coding
WDR37,protein_coding
YTHDC2,protein_coding
CTPS2,protein_coding
ATP6V1H,protein_coding
POLR2B,protein_coding
FAM214A,protein_coding
ARAP2,protein_coding
TPR,protein_coding
CP,protein_coding
KATNIP,protein_coding
DTNBP1,protein_coding
XK,protein_coding
ANO2,protein_coding
C12orf4,protein_coding
SCML1,protein_coding
WWC3,protein_coding
ARHGAP6,protein_coding
FAM184B,protein_coding
MAP4,protein_coding
GOPC,protein_coding
USP28,protein_coding
HDAC9,protein_coding
TSPAN17,protein_coding
NOP16,protein_coding
CC2D2A,protein_coding
RRM2B,protein_coding
ZNF800,protein_coding
SNX29,protein_coding
LMO3,protein_coding
MRPS10,protein_coding
RSF1,protein_coding
VPS13D,protein_coding
CELF2,protein_coding
FAM120A,protein_coding
R3HDM1,protein_coding
COL9A2,protein_coding
KITLG,protein_coding
ERCC8,protein_coding
ADAMTS6,protein_coding
H6PD,protein_coding
VAMP3,protein_coding
PER3,protein_coding
LTBP1,protein_coding
RCN1,protein_coding
ELN,protein_coding
RFC2,protein_coding
ARID1B,protein_coding
CLPTM1L,protein_coding
NEDD4L,protein_coding
FOXP3,protein_coding
PPP1R3F,protein_coding
HEXB,protein_coding
PTCD2,protein_coding
NEXMIF,protein_coding
JKAMP,protein_coding
DKK3,protein_coding
NFE2L3,protein_coding
MCUR1,protein_coding
LIMA1,protein_coding
LETMD1,protein_coding
SLC4A8,protein_coding
LAMC3,protein_coding
MAPK9,protein_coding
COL23A1,protein_coding
BCAR1,protein_coding
FAM160A2,protein_coding
HERPUD1,protein_coding
HOMER3,protein_coding
RAD51,protein_coding
POLQ,protein_coding
PIK3CB,protein_coding
CYBA,protein_coding
THOC3,protein_coding
HEBP2,protein_coding
MPHOSPH9,protein_coding
PLEKHA5,protein_coding
SIKE1,protein_coding
RRP12,protein_coding
FNIP2,protein_coding
MSMO1,protein_coding
TTC17,protein_coding
ALX4,protein_coding
FSTL4,protein_coding
FOXN3,protein_coding
METTL24,protein_coding
AKR7A2,protein_coding
MRTO4,protein_coding
NNAT,protein_coding
USE1,protein_coding
MCF2L2,protein_coding
NRIP2,protein_coding
LAMA3,protein_coding
AP5M1,protein_coding
ANAPC4,protein_coding
KCNQ1,protein_coding
TRAPPC3,protein_coding
THRAP3,protein_coding
PHPT1,protein_coding
ENTPD2,protein_coding
LY75,protein_coding
ARID4B,protein_coding
OPN3,protein_coding
SDCCAG8,protein_coding
PTPRN,protein_coding
HHAT,protein_coding
KIF1B,protein_coding
FOXC1,protein_coding
TBC1D22A,protein_coding
SYNE2,protein_coding
PLEKHH1,protein_coding
ATP9A,protein_coding
CBLN4,protein_coding
CHRDL2,protein_coding
FAM168A,protein_coding
RELT,protein_coding
GALC,protein_coding
NOP58,protein_coding
SZRD1,protein_coding
KCNH2,protein_coding
CUL1,protein_coding
FAM114A2,protein_coding
CYFIP2,protein_coding
TAB2,protein_coding
GINM1,protein_coding
EIF2AK2,protein_coding
USP36,protein_coding
KMT2C,protein_coding
CCDC85A,protein_coding
PUM2,protein_coding
MRPL43,protein_coding
HPF1,protein_coding
ZFR,protein_coding
ZNF280C,protein_coding
PHF21B,protein_coding
TRAF1,protein_coding
RC3H2,protein_coding
IL17RB,protein_coding
TRAF3IP2,protein_coding
GYG2,protein_coding
DCBLD2,protein_coding
SOAT1,protein_coding
PKP2,protein_coding
GDI2,protein_coding
PRDM1,protein_coding
ATG5,protein_coding
TMCC3,protein_coding
PITHD1,protein_coding
MTA3,protein_coding
USP13,protein_coding
ATP11B,protein_coding
CDK14,protein_coding
SEC61A1,protein_coding
PPP1R12A,protein_coding
RASGRF1,protein_coding
CAMK2B,protein_coding
CROCC,protein_coding
POLR3E,protein_coding
ATP2B4,protein_coding
RIOK2,protein_coding
YIPF1,protein_coding
NDC1,protein_coding
DGKG,protein_coding
FLYWCH1,protein_coding
UNKL,protein_coding
TBXAS1,protein_coding
PARP12,protein_coding
ALDH18A1,protein_coding
TARBP1,protein_coding
GATB,protein_coding
MXD1,protein_coding
CDK17,protein_coding
DNAJC25,protein_coding
SLC2A3,protein_coding
PSD,protein_coding
CTDP1,protein_coding
YBX3,protein_coding
WNK1,protein_coding
RPS17P5,processed_pseudogene
CCAR1,protein_coding
OGFR,protein_coding
GNA15,protein_coding
PIGV,protein_coding
PTPRU,protein_coding
SNRNP40,protein_coding
RIMBP2,protein_coding
COL11A1,protein_coding
QSER1,protein_coding
MPC1,protein_coding
ACAA1,protein_coding
BCAT1,protein_coding
HDAC7,protein_coding
LZTS1,protein_coding
SPAG4,protein_coding
NCKAP1,protein_coding
MRPS35,protein_coding
GUCY1B1,protein_coding
SFSWAP,protein_coding
TNK2,protein_coding
MON2,protein_coding
CDH3,protein_coding
ARSF,protein_coding
GPBP1,protein_coding
DGAT2,protein_coding
ZNF112,protein_coding
CS,protein_coding
LTK,protein_coding
ELMO2,protein_coding
WAPL,protein_coding
VMP1,protein_coding
APPBP2,protein_coding
POLD1,protein_coding
SEZ6,protein_coding
EIF4B,protein_coding
SLC6A16,protein_coding
BICRA,protein_coding
SPHK2,protein_coding
RPL18,protein_coding
CA11,protein_coding
ISOC2,protein_coding
U2AF2,protein_coding
EPN1,protein_coding
MED29,protein_coding
ZNF275,protein_coding
MTMR1,protein_coding
GPC1,protein_coding
ADCK1,protein_coding
HAGH,protein_coding
RNF4,protein_coding
CASP8,protein_coding
LIMCH1,protein_coding
INTS13,protein_coding
TM7SF3,protein_coding
SPA17,protein_coding
TSPAN32,protein_coding
ST3GAL6,protein_coding
NGFR,protein_coding
CDON,protein_coding
TAF2,protein_coding
HIPK2,protein_coding
TNPO3,protein_coding
RFXANK,protein_coding
TMEM161A,protein_coding
LPAR2,protein_coding
CTSA,protein_coding
SUGP2,protein_coding
SLC12A2,protein_coding
SNX24,protein_coding
EYA2,protein_coding
CNN2,protein_coding
ABCA7,protein_coding
SNCAIP,protein_coding
DDX20,protein_coding
BTBD1,protein_coding
FAR2,protein_coding
BCAS1,protein_coding
CHI3L2,protein_coding
SBNO2,protein_coding
PMS1,protein_coding
HMG20B,protein_coding
CALCRL,protein_coding
TAF11,protein_coding
ANKS1A,protein_coding
AP3D1,protein_coding
ZNF76,protein_coding
SLC9A3R2,protein_coding
NTHL1,protein_coding
UHRF1BP1,protein_coding
GNAI3,protein_coding
IPO5,protein_coding
OAT,protein_coding
WDR3,protein_coding
PKN2,protein_coding
WDR18,protein_coding
TRAM2,protein_coding
NTN1,protein_coding
MCM10,protein_coding
DGKA,protein_coding
ERBB3,protein_coding
ANKRD44,protein_coding
KARS1,protein_coding
ADAT1,protein_coding
PDIA5,protein_coding
TBC1D22B,protein_coding
NDUFB4,protein_coding
SPEN,protein_coding
MYLK,protein_coding
ZC3H15,protein_coding
MAP2K4,protein_coding
PACC1,protein_coding
SNAP91,protein_coding
SLK,protein_coding
CYB5R4,protein_coding
GSTO2,protein_coding
SEC61A2,protein_coding
PRKCQ,protein_coding
TLE2,protein_coding
ASB1,protein_coding
FAM107B,protein_coding
ME1,protein_coding
TBC1D1,protein_coding
CDK13,protein_coding
MTHFD2,protein_coding
SLC9A7,protein_coding
FOXJ2,protein_coding
YBX1,protein_coding
PDE4A,protein_coding
PPP2R5A,protein_coding
CTNNA2,protein_coding
ELAVL1,protein_coding
TIE1,protein_coding
DIP2B,protein_coding
SMARCD1,protein_coding
KDM4A,protein_coding
NFYC,protein_coding
ZMYND12,protein_coding
SLC9A3,protein_coding
NGEF,protein_coding
ASPM,protein_coding
CD84,protein_coding
ELOVL1,protein_coding
SPI1,protein_coding
POLR1H,protein_coding
MPPED2,protein_coding
CLDN18,protein_coding
ZBTB11,protein_coding
ATXN3,protein_coding
GOLGA5,protein_coding
FGFR2,protein_coding
LRRC40,protein_coding
ISOC1,protein_coding
EML1,protein_coding
TRMT11,protein_coding
THUMPD1,protein_coding
MSANTD3,protein_coding
KIF26A,protein_coding
ATG2B,protein_coding
ARFGEF1,protein_coding
ZFAT,protein_coding
MTFR1,protein_coding
STAG3,protein_coding
FECH,protein_coding
MYO9A,protein_coding
DDX3Y,protein_coding
PFKP,protein_coding
IDI1,protein_coding
SP100,protein_coding
KLF6,protein_coding
PLPP1,protein_coding
NEO1,protein_coding
TRAM1,protein_coding
PHKA1,protein_coding
TNFRSF1A,protein_coding
CACNB1,protein_coding
EVI5,protein_coding
STOML1,protein_coding
PKM,protein_coding
DHX29,protein_coding
DNTTIP2,protein_coding
METTL22,protein_coding
TP53BP1,protein_coding
TRO,protein_coding
RRP15,protein_coding
RHOA,protein_coding
DHX8,protein_coding
PMS2P4,transcribed_unprocessed_pseudogene
PRKCZ,protein_coding
ZFY,protein_coding
IARS2,protein_coding
SYT1,protein_coding
NAV3,protein_coding
IDH3G,protein_coding
ROGDI,protein_coding
PDZD4,protein_coding
ATP2B3,protein_coding
ROCK1,protein_coding
CBFB,protein_coding
PDK3,protein_coding
HYAL2,protein_coding
HDAC4,protein_coding
RASSF1,protein_coding
FGFR3,protein_coding
IFI35,protein_coding
HEATR6,protein_coding
COASY,protein_coding
PLEKHH3,protein_coding
MEF2A,protein_coding
OTUD5,protein_coding
TFE3,protein_coding
TBC1D25,protein_coding
ACSL4,protein_coding
INPP5A,protein_coding
GPKOW,protein_coding
GRIPAP1,protein_coding
FTSJ1,protein_coding
PRR11,protein_coding
REEP1,protein_coding
ATP11A,protein_coding
POLR1A,protein_coding
LAPTM4A,protein_coding
TTC7A,protein_coding
IP6K2,protein_coding
SRBD1,protein_coding
KIF2A,protein_coding
RASGRP2,protein_coding
PSME4,protein_coding
IFT80,protein_coding
SIRT2,protein_coding
ERLEC1,protein_coding
PPP2R5B,protein_coding
PYGM,protein_coding
PITX1,protein_coding
MAST4,protein_coding
ADGRF5,protein_coding
SDK2,protein_coding
NUP133,protein_coding
NUCKS1,protein_coding
VPS35,protein_coding
DNAJA2,protein_coding
BCL3,protein_coding
KCNAB2,protein_coding
ABCC9,protein_coding
GAL,protein_coding
CLEC2D,protein_coding
FUNDC1,protein_coding
MAOB,protein_coding
RORA,protein_coding
DRD4,protein_coding
TGFBR3,protein_coding
PLA2G10,protein_coding
ATP1B3,protein_coding
NEDD4,protein_coding
PIGB,protein_coding
MAPK6,protein_coding
GNB5,protein_coding
RAB27A,protein_coding
HDHD5,protein_coding
UFD1,protein_coding
LRP6,protein_coding
SCT,protein_coding
PHRF1,protein_coding
ELP1,protein_coding
NUCB2,protein_coding
PFN2,protein_coding
PTPN3,protein_coding
SPTB,protein_coding
DAPP1,protein_coding
SLC44A1,protein_coding
TMEM260,protein_coding
SMG6,protein_coding
EXOC5,protein_coding
CLTCL1,protein_coding
FSTL3,protein_coding
DGCR2,protein_coding
RNF126,protein_coding
MNT,protein_coding
ZXDC,protein_coding
JMJD6,protein_coding
POLB,protein_coding
ST6GALNAC1,protein_coding
WIPI1,protein_coding
FRMPD1,protein_coding
GBA2,protein_coding
NDST1,protein_coding
ASNS,protein_coding
AP3M2,protein_coding
ST6GALNAC2,protein_coding
PABPC1,protein_coding
TESK2,protein_coding
CFAP20,protein_coding
CSNK2A2,protein_coding
PTPN21,protein_coding
EIF2B3,protein_coding
CAMK2A,protein_coding
TCOF1,protein_coding
CDC42,protein_coding
OSBPL3,protein_coding
RAD18,protein_coding
ATP2B1,protein_coding
NCK2,protein_coding
MAP4K4,protein_coding
MGAT4A,protein_coding
RPL31,protein_coding
WDR1,protein_coding
SNX13,protein_coding
ARHGAP10,protein_coding
RPS6KA2,protein_coding
ING3,protein_coding
VASH1,protein_coding
LMCD1,protein_coding
BUD23,protein_coding
SEL1L,protein_coding
TRIP13,protein_coding
ATP6AP1,protein_coding
TCF3,protein_coding
TRIB2,protein_coding
DAZAP1,protein_coding
MBD3,protein_coding
HLTF,protein_coding
FAM50A,protein_coding
FAM3A,protein_coding
CPSF1,protein_coding
CYBRD1,protein_coding
CDH19,protein_coding
PDCD2,protein_coding
SLC6A15,protein_coding
RDH11,protein_coding
PRKACA,protein_coding
ADGRL1,protein_coding
ACTN1,protein_coding
ZFYVE26,protein_coding
RPS6KA6,protein_coding
EPN2,protein_coding
PTPN18,protein_coding
LIMS2,protein_coding
ASIC4,protein_coding
SPEG,protein_coding
LNX1,protein_coding
ALDH3A2,protein_coding
TFRC,protein_coding
SREBF1,protein_coding
AFF4,protein_coding
UBE2D1,protein_coding
MPP5,protein_coding
RHOBTB1,protein_coding
SMC1A,protein_coding
HSD17B10,protein_coding
MARK2,protein_coding
HMMR,protein_coding
CHFR,protein_coding
P4HA2,protein_coding
FCGR2B,protein_coding
NFATC3,protein_coding
TRNT1,protein_coding
ACADVL,protein_coding
STK10,protein_coding
FBXW11,protein_coding
ACAP1,protein_coding
CRMP1,protein_coding
EVC,protein_coding
DERL2,protein_coding
SIDT1,protein_coding
NDE1,protein_coding
IRAG1,protein_coding
TMEM38A,protein_coding
AP1M1,protein_coding
PVR,protein_coding
XRCC1,protein_coding
SCARB1,protein_coding
MCM2,protein_coding
PANX2,protein_coding
SELENOO,protein_coding
ALPK1,protein_coding
LLGL2,protein_coding
PDE8A,protein_coding
CLCN4,protein_coding
NLE1,protein_coding
SDHA,protein_coding
SMARCE1,protein_coding
GSDMB,protein_coding
KDM5A,protein_coding
ADAM11,protein_coding
PPP2R3A,protein_coding
FERMT2,protein_coding
DHRS9,protein_coding
PTGS2,protein_coding
IGF2BP2,protein_coding
MAP3K13,protein_coding
ST6GAL1,protein_coding
VDAC1P1,processed_pseudogene
FRY,protein_coding
PICALM,protein_coding
NSF,protein_coding
GLI2,protein_coding
CLASP1,protein_coding
MRPS34,protein_coding
NOTCH3,protein_coding
CLNS1A,protein_coding
PPP2R2C,protein_coding
TEAD2,protein_coding
EED,protein_coding
CDHR2,protein_coding
SNCB,protein_coding
TSG101,protein_coding
NCBP3,protein_coding
ATP2A3,protein_coding
CA12,protein_coding
MGLL,protein_coding
NTN4,protein_coding
BCS1L,protein_coding
NUAK1,protein_coding
DPP8,protein_coding
SLC24A1,protein_coding
ZNF532,protein_coding
SCARF1,protein_coding
LMAN1,protein_coding
HACD3,protein_coding
IPCEF1,protein_coding
ZZEF1,protein_coding
ENO1,protein_coding
MYDGF,protein_coding
ANO8,protein_coding
TUBE1,protein_coding
ARHGEF10L,protein_coding
WSCD2,protein_coding
KCNQ2,protein_coding
TACR2,protein_coding
ACTR6,protein_coding
TIPIN,protein_coding
SRI,protein_coding
EIF4G3,protein_coding
NUP37,protein_coding
SEMA3A,protein_coding
GTSE1,protein_coding
SEMA3C,protein_coding
TTC38,protein_coding
ACAT1,protein_coding
GRAMD4,protein_coding
CELSR1,protein_coding
ZNF638,protein_coding
SLC25A40,protein_coding
TIMM21,protein_coding
